job_id,industry_name
3692363708,Financial Services
3692363708,Retail
3692363778,IT Services and IT Consulting
3692363920,Facilities Services
3692364339,Financial Services
3692364339,Retail
3692364369,Financial Services
3692364369,Retail
3692364370,Financial Services
3692364370,Retail
3692364372,Financial Services
3692364372,Retail
3692364374,Financial Services
3692364374,Retail
3692364378,Financial Services
3692364378,Retail
3692364379,Financial Services
3692364379,Retail
3692364380,Financial Services
3692364380,Retail
3692364560,Outsourcing and Offshoring Consulting
3692365234,Financial Services
3692365234,Retail
3692365236,Financial Services
3692365236,Retail
3692365238,Financial Services
3692365238,Retail
3692365242,Financial Services
3692365242,Retail
3692365243,Financial Services
3692365243,Retail
3692366202,Financial Services
3692366202,Retail
3692366207,Financial Services
3692366207,Retail
3692366208,Financial Services
3692366208,Retail
3692366209,Financial Services
3692366209,Retail
3692366211,Financial Services
3692366211,Retail
3692366212,Financial Services
3692366212,Retail
3692366214,Financial Services
3692366214,Retail
3692366220,Financial Services
3692366220,Retail
3692366441,Industrial Machinery Manufacturing
3692366441,"Appliances, Electrical, and Electronics Manufacturing"
3692367174,Financial Services
3692367174,Retail
3692367178,Financial Services
3692367178,Retail
3692367179,Financial Services
3692367179,Retail
3692367180,Financial Services
3692367180,Retail
3692367370,Motor Vehicle Manufacturing
3692368116,Financial Services
3692368116,Retail
3692368118,Financial Services
3692368118,Retail
3692368122,Financial Services
3692368122,Retail
3692368249,Construction
3692368330,Non-profit Organizations
3692369039,Public Relations and Communications Services
3692369084,IT Services and IT Consulting
3692369084,Information Services
3692370024,IT Services and IT Consulting
3696987546,Information Services
3696987546,"Technology, Information and Internet"
3696987686,Retail
3696987698,Retail
3696987775,Retail
3696987938,Retail
3696988111,Information Services
3696988111,"Technology, Information and Internet"
3696988374,Retail
3696988456,Retail
3696988990,Motor Vehicle Manufacturing
3696988990,Industrial Machinery Manufacturing
3696988990,Automation Machinery Manufacturing
3696989463,Retail
3696989494,Retail
3696989579,Retail
3696990096,Information Services
3696990096,"Technology, Information and Internet"
3696990234,Retail
3696990251,Retail
3696990252,Retail
3696990450,Retail
3696990838,Retail
3696990961,IT Services and IT Consulting
3696990991,Retail
3696990992,Retail
3696990993,Retail
3696991158,Staffing and Recruiting
3696992346,Retail
3696992442,Retail
3696992556,Retail
3696993074,Retail
3696993315,Retail
3696993316,Retail
3696993898,Retail
3696993899,Retail
3696994708,Retail
3696994715,Retail
3696994820,Retail
3696994822,Retail
3696994827,Retail
3696994828,Retail
3696994861,Retail
3696995298,Retail
3696995419,Retail
3696995462,Retail
3696995466,Retail
3696995467,Retail
3696995468,Retail
3696996123,Retail
3696997048,IT Services and IT Consulting
3696997068,Retail
3696997069,Retail
3696997071,Retail
3696997739,IT Services and IT Consulting
3696998251,Research Services
3697105339,Motor Vehicle Manufacturing
3697105530,Warehousing and Storage
3697105530,Consumer Services
3697105530,Facilities Services
3700191806,Hospitals and Health Care
3700194711,Hospitals and Health Care
3700199410,Real Estate
3700326545,Printing Services
3700333196,Government Administration
3700345653,Architecture and Planning
3700347882,Packaging and Containers Manufacturing
3700348353,IT Services and IT Consulting
3700359414,Wellness and Fitness Services
3700362103,Food and Beverage Services
3700365455,Real Estate
3700368597,Real Estate
3700370547,Architecture and Planning
3700374036,Civic and Social Organizations
3700375925,Paper and Forest Product Manufacturing
3700377536,Wholesale
3700382987,Primary and Secondary Education
3700386191,Paper and Forest Product Manufacturing
3700386731,Public Relations and Communications Services
3700388143,Hospitals and Health Care
3700391622,Food and Beverage Services
3700398203,Medical Practices
3700504344,Truck Transportation
3700533944,Staffing and Recruiting
3700534083,Staffing and Recruiting
3700535284,Entertainment Providers
3700535499,Entertainment Providers
