company_id,name,company_size,state,country,city,zip_code,address,url,employee_count,follower_count,time_recorded
104883,Micromeritics Instrument Corporation,3.0,GA,US,Norcross,30093,4356 Communications Dr,https://www.linkedin.com/company/micromeritics-instrument-corporation,293.0,10150.0,2023-08-24 07:30:42.000000000
104895,"McNeilus Truck and Manufacturing, Inc.",5.0,MN,US,Dodge Center,55927,524 East Highway Street,https://www.linkedin.com/company/mcneilus-truck-and-manufacturing-inc-,569.0,11306.0,2023-08-24 03:53:15.000000000
104996,MAA,5.0,Tennessee,US,Germantown,38138,6815 Poplar Ave,https://www.linkedin.com/company/mid-america-apartment-communities,2100.0,25605.0,2023-11-03 07:00:04.000000000
105046,Noise Pop Industries,1.0,California,US,San Francisco,94110,849 Valencia St,https://www.linkedin.com/company/noise-pop-industries,28.0,1831.0,2023-08-23 22:58:25.000000000
105066,Loyal Source Government Services,5.0,Florida,US,Orlando,32826-2784,12612 Challenger Pkwy,https://www.linkedin.com/company/loyalsource,1621.0,33122.0,2023-08-24 08:02:07.000000000
105203,Petsense by Tractor Supply,5.0,Tennessee,US,Brentwood,37027,5401 Virginia Way,https://www.linkedin.com/company/petsensebytractorsupply,671.0,6979.0,2023-11-03 20:46:41.000000000
105797,PALECEK,3.0,0,US,0,0,0,https://www.linkedin.com/company/palecek,126.0,3063.0,2023-11-04 09:25:20.000000000
105912,Orr & Reno,1.0,New Hampshire,US,Concord,03302-3550,45 South Main Street,https://www.linkedin.com/company/orr-&-reno,75.0,939.0,2023-11-04 22:05:47.000000000
106074,"Newsmax Media, Inc.",3.0,FL,US,Boca Raton,33487,750 Park of Commerce Drive ,https://www.linkedin.com/company/newsmax-media-inc-,507.0,64253.0,2023-11-04 02:35:51.000000000
106083,Phaxis,2.0,NY,US,New York,10018,263 W 38th St,https://www.linkedin.com/company/phaxis-consulting,163.0,130985.0,2023-08-24 07:49:18.000000000
106188,"SOAProjects, Inc.",3.0,CA,US,Mountain View,94043,"495 N. Whisman Rd, Ste 100",https://www.linkedin.com/company/soaprojects,137.0,3027.0,2023-11-04 02:37:05.000000000
106383,Saicon,3.0,KS,US,Overland Park,66210,9300 West 110th,https://www.linkedin.com/company/saicon,212.0,58553.0,2023-08-24 01:07:39.000000000
106551,Shamin Hotels,5.0,Virginia,US,Richmond,23219,300 E Franklin St,https://www.linkedin.com/company/shamin-hotels,286.0,4707.0,2023-08-23 06:36:42.000000000
106584,Selby Jennings,5.0,0,GB,London,EC3V 9AH,21 Lombard Street,https://www.linkedin.com/company/selby-jennings,719.0,486913.0,2023-08-24 02:05:48.000000000
106620,"Prime Care Technologies, Inc.",2.0,GA,US,Duluth,30097,6650 Sugarloaf Parkway,https://www.linkedin.com/company/prime-care-technologies,132.0,1304.0,2023-08-24 07:27:07.000000000
106707,"RedRiver Systems, LLC",2.0,Texas,US,Addison,75001,16051 Addison Rd.,https://www.linkedin.com/company/redriver-systems-llc,33.0,36793.0,2023-08-24 01:50:43.000000000
106767,Quince Imaging,2.0,Virginia,US,Sterling,20164,22601 Davis Dr,https://www.linkedin.com/company/quince-imaging,54.0,2179.0,2023-11-04 06:52:33.000000000
106879,Rudin,3.0,New York,US,New York,10022,345 Park Ave,https://www.linkedin.com/company/rudin,378.0,11301.0,2023-11-03 07:25:02.000000000
107021,Resource Logistics Inc.,3.0,New Jersey,US,Edison,08837,505 Thornall Street,https://www.linkedin.com/company/resource-logistics,280.0,56821.0,2023-08-23 22:34:55.000000000
107185,Ricola,3.0,0,CH,Laufen,4242,Baselstrasse 31,https://www.linkedin.com/company/ricola,295.0,24023.0,2023-08-23 23:44:07.000000000
107265,SIM USA,5.0,NC,US,Charlotte,28273,14830 Choate Circle,https://www.linkedin.com/company/simusa,277.0,1248.0,2023-08-23 22:37:22.000000000
107365,Rita Staffing,1.0,Florida,US,Lakeland,33813,5150 S Florida Ave,https://www.linkedin.com/company/rita-staffing,128.0,7068.0,2023-11-03 23:57:37.000000000
107434,Sofidel S.p.A.,6.0,Lucca,IT,Porcari,55016,"Via Giuseppe Lazzareschi, 23",https://www.linkedin.com/company/sofidel,1973.0,41837.0,2023-11-04 02:17:21.000000000
107457,Stars Behavioral Health Group,5.0,CA,US,Long Beach,90810,1501 Hughes Way,https://www.linkedin.com/company/stars-behavioral-health-group,727.0,7206.0,2023-08-22 06:08:56.000000000
107676,TERPHANE,3.0,New York,US,Bloomfield,14469,2754 W Park Dr,https://www.linkedin.com/company/terphane,348.0,12224.0,2023-08-23 22:52:44.000000000
107699,The Chefs'​ Warehouse,5.0,CT,US,Ridgefield,06877,100 East Ridge Road,https://www.linkedin.com/company/the-chefs-warehouse,1240.0,32703.0,2023-11-03 21:01:28.000000000
107817,Freeman Company,6.0,Texas,US,Dallas,75254,14221 Dallas Pkwy,https://www.linkedin.com/company/the-freeman-company,5869.0,66243.0,2023-11-03 20:55:20.000000000
107854,Dover Corporation,7.0,Illinois,US,Downers Grove,60515,3005 Highland Pkwy,https://www.linkedin.com/company/dovercorp,2070.0,116537.0,2023-11-03 19:57:03.000000000
107926,Steelhead Productions,2.0,Nevada,US,Las Vegas,89139,4220 W Windmill Ln,https://www.linkedin.com/company/steelhead-productions,50.0,3263.0,2023-08-24 00:27:55.000000000
108093,SYSTEMTEC,2.0,South Carolina,US,Columbia,29210,200 Center Point Circle,https://www.linkedin.com/company/systemtec,107.0,10744.0,2023-11-03 23:31:28.000000000
108183,Sims  Limited,5.0,New South Wales,AU,Mascot,2020,189 O'Riordan St,https://www.linkedin.com/company/simslimited,1173.0,23924.0,2023-08-24 06:36:49.000000000
108204,Simmons Foods,6.0,Arkansas,US,Siloam Springs,72761,601 N. Hico Street,https://www.linkedin.com/company/simmonsfoods,2513.0,30024.0,2023-11-03 20:44:13.000000000
108340,Sprouts Farmers Market,7.0,Arizona,US,Phoenix,85054,5455 E. High Street,https://www.linkedin.com/company/sprouts-farmers-market,10905.0,88514.0,2023-08-24 03:59:27.000000000
108486,H10 Capital,3.0,WA,US,Seattle,98121,2401 4th Ave Suite 480,https://www.linkedin.com/company/h10-capital,71.0,6367.0,2023-08-23 19:11:06.000000000
108488,"TS Tech Americas, Inc.",3.0,Ohio,US,Reynoldsburg,43068,8458 E Broad St,https://www.linkedin.com/company/ts-tech-north-america,902.0,8397.0,2023-08-23 22:54:21.000000000
108540,Falmouth University,4.0,Cornwall,GB,Falmouth,TR11 4RH,"Falmouth University, Falmouth Campus",https://www.linkedin.com/school/falmouth-university/,1445.0,36866.0,2023-11-04 22:50:51.000000000
